world_file,category,difficulty,obstacles,a_mem,a_time,a_turns,d_mem,d_time,d_turns,rrt_mem,rrt_time,rrt_turns,spawn_x,spawn_y,spawn_z,goal_x,goal_y,wall_count
map_9687_Rooms_hard.sdf,Rooms,Hard,997,1230,13328.4857,16,1443,14601.0108,15,602,11237.9228,55.3,-11.5,11,0.1,11.5,-12,997
map_9544_Rooms_hard.sdf,Rooms,Hard,1018,1217,13006.5516,16,1463,14729.3644,15,534,12363.9138,51,-11,10.5,0.1,11.5,-12,1018
map_8843_Rooms_hard.sdf,Rooms,Hard,1015,1165,12742.3174,11,1467,14768.4706,14,505,11163.7768,50.8,-11.5,11,0.1,11.5,-12,1015
map_13994_Corridors_hard.sdf,Corridors,Hard,1734,744,8003.9675,26,743,7766.8798,26,783,31402.8655,54.8,-11.5,11,0.1,11.5,-12,1734
map_14802_Corridors_hard.sdf,Corridors,Hard,1738,700,7498.8001,23,756,7756.0356,22,681,25701.5817,48.2,-11.5,11,0.1,11.5,-12,1738
map_14980_Corridors_hard.sdf,Corridors,Hard,1788,667,7202.8075,25,711,7354.3681,23,685,27528.7331,49.1,-11.5,11,0.1,11.5,-12,1788
map_17663_Mazes_hard.sdf,Mazes,Hard,1274,1184,12246.5165,47,1215,12453.0346,46,206,107766.8254,22,-7.5,11,0.1,11.5,-12,1274
map_18505_Mazes_hard.sdf,Mazes,Hard,1299,1171,12134.3526,54,1177,12159.5636,53,0,188077.9333,90.1,-6,11,0.1,11.5,-12,1299
map_18914_Mazes_hard.sdf,Mazes,Hard,1311,1160,12064.0879,57,1170,12142.793,58,0,193946.4109,90.1,-7,11,0.1,11.5,-12,1311
